text_jp;text_fr;text_en
◆ニルード（体つき）;◆Nirude (avec corps);◆Nilude (with body)
◆−ニルード落石(222);◆Chute de rochers de Nilude (222);◆Nilude rockfall (222)
◆エレメントＬｖ１;◆Élément Niv.1;◆Element Lv.1
◆−エレメント岩;◆Roche élémentaire;◆Element rock
◆−エレメント監視;◆Surveillance élémentaire;◆Element watcher
◆ビーム兄弟（兄）Ｌ１;◆Frère Rayon (aîné) Niv.1;◆Beam Brother (elder) Lv.1
◆−ビーム兄弟（弟）;◆Frère Rayon (cadet);◆Beam Brother (younger)
◆−ニルード落石(112);◆Chute de rochers de Nilude (112);◆Nilude rockfall (112)
◆−ニルード落石(111);◆Chute de rochers de Nilude (111);◆Nilude rockfall (111)
◆−ムカデ（反射弾）;◆Mille-pattes (projectiles réfléchis);◆Centipede (reflected projectiles)
◆−ムカデ（炸裂卵）;◆Mille-pattes (œufs explosifs);◆Centipede (explosive eggs)
◆ムルータキング;◆Zazan-Roi Muruta;◆Muruta King
◆−キング大岩;◆Grand rocher du roi;◆King's big rock
◆−キング手下;◆Sbires du roi;◆King's underlings
◆ゾルジア;◆Zorgia;◆Zorgia
◆−ゾルジア魔法陣;◆Cercle magique de Zoldia;◆Zorgia magic circle
◆−ゾルジア弾;◆Projectiles de Zoldia;◆Zorgia projectiles
